RAW_TABLE_NAME,RAW_COLUMN_NAME,RAW_DATA_TYPE,RAW_ORDER_NUM,TARGET_TABLE_NAME,TARGET_COLUMN_NAME,TARGET_DATA_TYPE,TARGET_ORDER_NUM
CANDIDATES,_OFFSET,VARCHAR(500),1,STG_CANDIDATES,ID,INT,1
CANDIDATES,CANDIDATE_ID,VARCHAR(500),2,STG_CANDIDATES,CANDIDATE_ID,VARCHAR,2
CANDIDATES,PRIMARY_SKILL_ID,VARCHAR(500),3,STG_CANDIDATES,PRIMARY_SKILL_ID,VARCHAR,3
CANDIDATES,STAFFING_STATUS,VARCHAR(500),4,STG_CANDIDATES,STAFFING_STATUS,VARCHAR,4
CANDIDATES,ENGLISH_LEVEL,VARCHAR(500),5,STG_CANDIDATES,ENGLISH_LEVEL,VARCHAR,5
CANDIDATES,JOB_FUNCTION_ID,VARCHAR(500),6,STG_CANDIDATES,JOB_FUNCTION_ID,VARCHAR,6
CANDIDATES,_CREATED_MICROS,VARCHAR(500),7,STG_CANDIDATES,CREATED_AT,TIMESTAMP_NTZ,7
CANDIDATES,_UPDATED_MICROS,VARCHAR(500),8,STG_CANDIDATES,UPDATED_AT,TIMESTAMP_NTZ,8
,,,,STG_CANDIDATES,LOADED_AT,TIMESTAMP_NTZ,9
,,,,STG_CANDIDATES,SOURCE,VARCHAR,10
EMPLOYEES,_OFFSET,VARCHAR(500),1,STG_EMPLOYEES,ID,INT,1
EMPLOYEES,EMPLOYEE_ID,VARCHAR(500),2,STG_EMPLOYEES,EMPLOYEE_ID,VARCHAR,2
EMPLOYEES,JOB_FUNCTION_ID,VARCHAR(500),3,STG_EMPLOYEES,JOB_FUNCTION_ID,VARCHAR,3
EMPLOYEES,PRIMARY_SKILL_ID,VARCHAR(500),4,STG_EMPLOYEES,PRIMARY_SKILL_ID,VARCHAR,4
EMPLOYEES,PRODUCTION_CATEGORY,VARCHAR(500),5,STG_EMPLOYEES,PRODUCTION_CATEGORY,VARCHAR,5
EMPLOYEES,EMPLOYMENT_STATUS,VARCHAR(500),6,STG_EMPLOYEES,EMPLOYMENT_STATUS,VARCHAR,6
EMPLOYEES,ORG_CATEGORY,VARCHAR(500),7,STG_EMPLOYEES,ORG_CATEGORY,VARCHAR,7
EMPLOYEES,ORG_CATEGORY_TYPE,VARCHAR(500),8,STG_EMPLOYEES,ORG_CATEGORY_TYPE,VARCHAR,8
EMPLOYEES,WORK_START_MICROS,VARCHAR(500),9,STG_EMPLOYEES,WORK_START_AT,TIMESTAMP_NTZ,9
EMPLOYEES,WORK_END_MICROS,VARCHAR(500),10,STG_EMPLOYEES,WORK_END_AT,TIMESTAMP_NTZ,10
EMPLOYEES,IS_ACTIVE,VARCHAR(500),11,STG_EMPLOYEES,IS_ACTIVE,BOOLEAN,11
EMPLOYEES,_CREATED_MICROS,VARCHAR(500),12,STG_EMPLOYEES,CREATED_AT,TIMESTAMP_NTZ,12
EMPLOYEES,_UPDATED_MICROS,VARCHAR(500),13,STG_EMPLOYEES,UPDATED_AT,TIMESTAMP_NTZ,13
,,,,STG_EMPLOYEES,LOADED_AT,TIMESTAMP_NTZ,14
,,,,STG_EMPLOYEES,SOURCE,VARCHAR,15
INTERVIEWS,_OFFSET,VARCHAR(500),1,STG_INTERVIEWS,ID,INT,1
INTERVIEWS,ID,VARCHAR(500),2,STG_INTERVIEWS,INTERVIEW_ID,VARCHAR,2
INTERVIEWS,CANDIDATE_TYPE,VARCHAR(500),3,STG_INTERVIEWS,CANDIDATE_TYPE,VARCHAR,3
INTERVIEWS,CANDIDATE_ID,VARCHAR(500),4,STG_INTERVIEWS,CANDIDATE_ID,VARCHAR,4
INTERVIEWS,STATUS,VARCHAR(500),5,STG_INTERVIEWS,STATUS,VARCHAR,5
INTERVIEWS,INTERVIEWER_ID,VARCHAR(500),6,STG_INTERVIEWS,INTERVIEWER_ID,VARCHAR,6
INTERVIEWS,LOCATION,VARCHAR(500),7,STG_INTERVIEWS,LOCATION,VARCHAR,7
INTERVIEWS,LOGGED,VARCHAR(500),8,STG_INTERVIEWS,LOGGED,BOOLEAN,8
INTERVIEWS,MEDIA_AVAILABLE,VARCHAR(500),9,STG_INTERVIEWS,MEDIA_AVAILABLE,BOOLEAN,9
INTERVIEWS,RUN_TYPE,VARCHAR(500),10,STG_INTERVIEWS,RUN_TYPE,VARCHAR,10
INTERVIEWS,TYPE,VARCHAR(500),11,STG_INTERVIEWS,TYPE,VARCHAR,11
INTERVIEWS,MEDIA_STATUS,VARCHAR(500),12,STG_INTERVIEWS,MEDIA_STATUS,VARCHAR,12
INTERVIEWS,INVITE_ANSWER_STATUS,VARCHAR(500),13,STG_INTERVIEWS,INVITE_ANSWER_STATUS,VARCHAR,13
INTERVIEWS,_CREATED_MICROS,VARCHAR(500),14,STG_INTERVIEWS,CREATED_AT,TIMESTAMP_NTZ,14
INTERVIEWS,_UPDATED_MICROS,VARCHAR(500),15,STG_INTERVIEWS,UPDATED_AT,TIMESTAMP_NTZ,15
,,,,STG_INTERVIEWS,LOADED_AT,TIMESTAMP_NTZ,16
,,,,STG_INTERVIEWS,SOURCE,VARCHAR,17
JOB_FUNCTIONS,_OFFSET,VARCHAR(500),1,STG_JOB_FUNCTIONS,ID,INT,1
JOB_FUNCTIONS,JOB_FUNCTION_ID,VARCHAR(500),2,STG_JOB_FUNCTIONS,JOB_FUNCTION_ID,VARCHAR,2
JOB_FUNCTIONS,BASE_NAME,VARCHAR(500),3,STG_JOB_FUNCTIONS,BASE_NAME,VARCHAR,3
JOB_FUNCTIONS,CATEGORY,VARCHAR(500),4,STG_JOB_FUNCTIONS,CATEGORY,VARCHAR,4
JOB_FUNCTIONS,IS_ACTIVE,VARCHAR(500),5,STG_JOB_FUNCTIONS,IS_ACTIVE,BOOLEAN,5
JOB_FUNCTIONS,LEVEL,VARCHAR(500),6,STG_JOB_FUNCTIONS,LEVEL,INT,6
JOB_FUNCTIONS,TRACK,VARCHAR(500),7,STG_JOB_FUNCTIONS,TRACK,VARCHAR,7
JOB_FUNCTIONS,SENIORITY_LEVEL,VARCHAR(500),8,STG_JOB_FUNCTIONS,SENIORITY_LEVEL,VARCHAR,8
JOB_FUNCTIONS,SENIORITY_INDEX,VARCHAR(500),9,STG_JOB_FUNCTIONS,SENIORITY_INDEX,INT,9
JOB_FUNCTIONS,_CREATED_MICROS,VARCHAR(500),10,STG_JOB_FUNCTIONS,CREATED_AT,TIMESTAMP_NTZ,10
JOB_FUNCTIONS,_UPDATED_MICROS,VARCHAR(500),11,STG_JOB_FUNCTIONS,UPDATED_AT,TIMESTAMP_NTZ,11
,,,,STG_JOB_FUNCTIONS,LOADED_AT,TIMESTAMP_NTZ,12
,,,,STG_JOB_FUNCTIONS,SOURCE,VARCHAR,13
SKILLS,_OFFSET,VARCHAR(500),1,STG_SKILLS,ID,INT,1
SKILLS,ID,VARCHAR(500),2,STG_SKILLS,SKILL_ID,VARCHAR,2
SKILLS,IS_ACTIVE,VARCHAR(500),3,STG_SKILLS,IS_ACTIVE,BOOLEAN,3
SKILLS,IS_PRIMARY,VARCHAR(500),4,STG_SKILLS,IS_PRIMARY,BOOLEAN,4
SKILLS,IS_KEY,VARCHAR(500),5,STG_SKILLS,IS_KEY,BOOLEAN,5
SKILLS,IS_KEY_REASON,VARCHAR(500),6,STG_SKILLS,IS_KEY_REASON,VARCHAR,6
SKILLS,TYPE,VARCHAR(500),7,STG_SKILLS,TYPE,VARCHAR,7
SKILLS,NAME,VARCHAR(500),8,STG_SKILLS,NAME,VARCHAR,8
SKILLS,URL,VARCHAR(500),9,STG_SKILLS,URL,VARCHAR,9
SKILLS,PARENT_ID,VARCHAR(500),10,STG_SKILLS,PARENT_ID,VARCHAR,10
SKILLS,_CREATED_MICROS,VARCHAR(500),11,STG_SKILLS,CREATED_AT,TIMESTAMP_NTZ,11
SKILLS,_UPDATED_MICROS,VARCHAR(500),12,STG_SKILLS,UPDATED_AT,TIMESTAMP_NTZ,12
,,,,STG_SKILLS,LOADED_AT,TIMESTAMP_NTZ,13
,,,,STG_SKILLS,SOURCE,VARCHAR,14
